date,None,D0,D1,D2,D3,D4
2019-10-28 00:00:00,1122274.11,490330.77,375979.92,228181.6,27781.82,0.0
2019-10-27 00:00:00,1159079.161243889,511084.49979437434,392718.61578612175,227965.75258674592,27310.293076647005,0.0
2019-10-26 00:00:00,1106018.2533773745,488893.0315695065,370598.8692134754,218754.78420207126,27771.568392321144,0.0
2019-10-25 00:00:00,1140341.7926256652,501278.67541449587,380505.0230312426,231883.3057471242,26674.788432802652,0.0
2019-10-24 00:00:00,1118988.900067599,490853.7874142488,364133.6374244893,235497.44147574468,28504.033753116437,0.0
2019-10-23 00:00:00,1100312.912249487,475999.61870399973,361127.3863151134,234734.03142008086,28451.875810292833,0.0
2019-10-22 00:00:00,1113390.0201086428,473543.8282741278,380636.3129148866,232712.1603572403,26497.71856238818,0.0
2019-10-21 00:00:00,1196618.77,559169.58,362091.94,230911.33,44445.92,0.0
2019-10-20 00:00:00,1196285.270502398,569228.8413834508,350198.7380487715,232821.1891180173,44036.50195215841,0.0
2019-10-19 00:00:00,1211851.2931588374,570268.0712314275,369175.4271192369,226087.5067224729,46320.28808569994,0.0
2019-10-18 00:00:00,1183065.4796980154,534894.6293840152,363941.35747856984,239783.30706210065,44446.18577332957,0.0
2019-10-17 00:00:00,1153163.1047946054,534750.6359813735,344043.8794725732,231211.3014977261,43157.287842932536,0.0
2019-10-16 00:00:00,1173440.1226303293,538205.6798064495,354906.8762700418,236878.79230062128,43448.77425321686,0.0
2019-10-15 00:00:00,1223280.7083924664,581726.876494345,372188.74300245265,223858.806655235,45506.28224043361,0.0
2019-10-14 00:00:00,1106986.74,493591.77,385733.04,191568.15,36093.78,0.0
2019-10-13 00:00:00,1148434.8900039985,513527.1351930468,400890.21272252547,199339.80472111274,34677.73736731325,0.0
2019-10-12 00:00:00,1104422.1000960942,489788.4964460849,387774.65981658216,190303.63105354272,36555.31277988445,0.0
2019-10-11 00:00:00,1091384.9727886668,474722.00414041115,382900.9994317865,198391.78867327812,35370.18054319096,0.0
2019-10-10 00:00:00,1077457.0689946082,473433.0034575504,379133.7803336254,187283.73877537373,37606.546428058784,0.0
2019-10-09 00:00:00,1136166.943799532,517451.4742560749,400845.9304739896,182461.95272203357,35407.58634743389,0.0
2019-10-08 00:00:00,1096651.689164586,485581.36051341187,376780.0535061986,199368.23117395688,34922.0439710183,0.0
2019-10-07 00:00:00,1185342.98,605407.02,401121.85,155053.22,23760.89,0.0
2019-10-06 00:00:00,1177913.1605888396,575277.2065515094,415873.33229961235,162277.7065014096,24484.915236308134,0.0
2019-10-05 00:00:00,1170769.9208516353,610483.4379394786,382438.66489706776,153618.35166391337,24229.466351175593,0.0
2019-10-04 00:00:00,1219428.4575925553,619451.5791598982,420649.04502190213,156044.32419814044,23283.50921261443,0.0
2019-10-03 00:00:00,1184146.8892691217,591588.9133788344,413354.05855572113,155790.32147968872,23413.595854877556,0.0
2019-10-02 00:00:00,1186976.394546965,598530.468672564,406382.3641041044,157620.27035901346,24443.29141128293,0.0
2019-10-01 00:00:00,1194347.0877481604,616502.6613091304,397880.3326134313,156170.13393863617,23793.959886962642,0.0
2019-09-30 00:00:00,1173307.1400000001,650948.0,404605.35,108373.22,9380.57,0.0
2019-09-29 00:00:00,1136061.9976163995,628854.9128742277,385733.9365263085,112141.43874781372,9331.709468049627,0.0
2019-09-28 00:00:00,1151808.2727553796,638125.3663358163,392662.27155550406,111178.27734162644,9842.35752243261,0.0
2019-09-27 00:00:00,1215453.4243373277,679098.4457514881,423899.2025379351,103045.2933200712,9410.482727833221,0.0
2019-09-26 00:00:00,1161857.9717215744,641460.2790221005,400346.87004163326,110834.25475942568,9216.567898414927,0.0
2019-09-25 00:00:00,1136281.24475705,627408.4991079309,393067.8616817511,106642.93720563033,9161.946761737541,0.0
2019-09-24 00:00:00,1208348.8030068062,677755.4309337288,415144.3648671886,105940.46116143408,9508.546044454779,0.0
2019-09-23 00:00:00,1028447.8699999999,605500.69,317209.15,96225.06,9512.97,0.0
2019-09-22 00:00:00,1047660.544387432,635688.9933093432,309588.25269419164,92821.39907800291,9561.899305894223,0.0
2019-09-21 00:00:00,1032097.1333687349,601896.6899313515,322861.40953656094,98222.92274801049,9116.111152811867,0.0
